"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","And User clicks ""fieldSatuanModalPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","52869","And User click ""navMenuMarketing"" in global page","","Thu Sep 12 00:33:56 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","245","And User click ""optTipeUser0"" in ""fieldTipeUser""","","Thu Sep 12 00:34:17 WIB 2024","passed","Thu Sep 12 00:34:17 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","3761","When I login with credential","","Thu Sep 12 00:31:45 WIB 2024","broken","Thu Sep 12 00:31:48 WIB 2024","","login Feature: As a user, I can login into superapp dashboard","",""
"","1","hook:","","Wed Sep 11 23:57:23 WIB 2024","failed","Wed Sep 11 23:57:23 WIB 2024","","","",""
"","46","Then I should see a flash message saying Your username is invalid!","","Wed Sep 11 23:57:23 WIB 2024","passed","Wed Sep 11 23:57:23 WIB 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","0","And User scroll to ""bottom"" of the page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User clicks ""optMetodePembayaranTransfer"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","65","Then I should see a flash message saying You logged into a secure area!","","Wed Sep 11 23:57:22 WIB 2024","passed","Wed Sep 11 23:57:22 WIB 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","229","And User clicks ""fieldGudang"" button in ""PO"" page","","Thu Sep 12 00:53:58 WIB 2024","passed","Thu Sep 12 00:53:58 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User fill ""textAreaCatatanPO"" with value ""Catatan Purchase Order"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","3","And User clicks ""textAreaCatatanPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User clicks ""optProdukModalPO2"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1126","When I login with tomsmith and SuperSecretPassword!","","Wed Sep 11 23:57:21 WIB 2024","passed","Wed Sep 11 23:57:22 WIB 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","2","And User fill ""fieldPIC"" with value ""Angga"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","360","And User click ""fieldPeriodeMisi"" inside ""menuMissionRegular""","","Thu Sep 12 00:34:10 WIB 2024","passed","Thu Sep 12 00:34:10 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""optSatuanModalPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","28466","And User scrolldown to ""fieldTipeTarget"" in ""menuMissionV4""","","Thu Sep 12 00:34:21 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","28444","And User click ""menuPurchasingPO"" button in ""PO"" page","","Thu Sep 12 00:53:45 WIB 2024","passed","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","199","And User clicks ""fieldSupplier"" button in ""PO"" page","","Thu Sep 12 00:54:03 WIB 2024","passed","Thu Sep 12 00:54:03 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User can wait loading application for ""5"" seconds","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User fill ""fieldQtyModalPO"" with value ""1000"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","295","And User input ""RailAutomated"" into ""fieldInputNamaMisi""","","Thu Sep 12 00:34:10 WIB 2024","passed","Thu Sep 12 00:34:10 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","16301","When User click ""btnCreateNewPO"" button in ""PO"" page","","Thu Sep 12 00:53:57 WIB 2024","passed","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","721","And User click ""btnBuatMisi"" in ""menuMissionV4""","","Thu Sep 12 00:34:39 WIB 2024","passed","Thu Sep 12 00:34:39 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""btnSimpanModalPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1127","And User set value ""10000"" into ""fieldInputTarget""","","Thu Sep 12 00:34:33 WIB 2024","passed","Thu Sep 12 00:34:35 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","10005","And User directed to ""Purchase Order"" page","","Thu Sep 12 00:53:47 WIB 2024","passed","Thu Sep 12 00:53:57 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","883","Then I see usernameDisplay","","Thu Sep 12 00:33:56 WIB 2024","passed","Thu Sep 12 00:33:56 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","Then User verified ""purchase order cost"" for ""textValueDPP"" is ""Rp 94.500.000,000""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User click ""btnSimpanCreatePO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","371","And User click ""fieldPencapaianMinimal"" in ""menuMissionV4""","","Thu Sep 12 00:34:37 WIB 2024","passed","Thu Sep 12 00:34:37 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","83158","When I login with credential","","Thu Sep 12 00:52:50 WIB 2024","passed","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","10097","And User clicks ""optSupplier"" button in ""PO"" page","","Thu Sep 12 00:54:03 WIB 2024","broken","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","48934","When I login with credential","","Thu Sep 12 00:33:07 WIB 2024","passed","Thu Sep 12 00:33:56 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""optBankSupplier"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User fill ""fieldDiskonOffFaktur"" with value ""100"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","5","hook:","","Thu Sep 12 00:31:48 WIB 2024","failed","Thu Sep 12 00:31:48 WIB 2024","","","",""
"","401","And User input ""syarat dan ketentuan"" into ""fieldSyaratDanKetentuan"" in ""menuMissionV4""","","Thu Sep 12 00:34:27 WIB 2024","passed","Thu Sep 12 00:34:27 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","372","And User click ""optTipeTarget0"" in ""fieldTipeTarget""","","Thu Sep 12 00:34:26 WIB 2024","passed","Thu Sep 12 00:34:26 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1043","When I login with foobar and barfoo","","Wed Sep 11 23:57:22 WIB 2024","passed","Wed Sep 11 23:57:23 WIB 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1","And User clicks ""optPengirimanLocco"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","546","And User input ""endDate"" into ""fieldPeriodeMisi""","","Thu Sep 12 00:34:16 WIB 2024","passed","Thu Sep 12 00:34:16 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""fieldProdukModalPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","692","And User set value ""100000""","","Thu Sep 12 00:34:37 WIB 2024","passed","Thu Sep 12 00:34:38 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""fieldMetodePembayaran"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User clicks ""togglePPNModalPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","4693","Then I see usernameDisplay","","Thu Sep 12 00:53:40 WIB 2024","passed","Thu Sep 12 00:53:45 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","154","And User click ""fieldArea"" in ""menuMissionV4""","","Thu Sep 12 00:34:21 WIB 2024","passed","Thu Sep 12 00:34:21 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","292","And User click ""fieldBatasPemenang"" in ""menuMissionV4""","","Thu Sep 12 00:34:38 WIB 2024","passed","Thu Sep 12 00:34:38 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1237","And User clicks ""optTipePTPO"" button in ""PO"" page","","Thu Sep 12 00:54:02 WIB 2024","passed","Thu Sep 12 00:54:03 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","51908","And User click ""menuMisiRegular"" inside ""menuMissionV4""","","Thu Sep 12 00:33:57 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","21669","And User click ""radioBtnFixed""","","Thu Sep 12 00:34:28 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","315","And User click ""optArea1"" in ""fieldArea""","","Thu Sep 12 00:34:17 WIB 2024","passed","Thu Sep 12 00:34:18 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","250","And User click ""fieldInputReward"" in ""menuMissionV4""","","Thu Sep 12 00:34:35 WIB 2024","passed","Thu Sep 12 00:34:35 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","52373","And User click ""menuMissionV4"" inside ""navMenuMarketing""","","Thu Sep 12 00:33:57 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""fieldPIC"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User clicks ""fieldBankSupplier"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","304","And User click ""fieldTipeUser"" in ""menuMissionV4""","","Thu Sep 12 00:34:17 WIB 2024","passed","Thu Sep 12 00:34:17 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""fieldPengiriman"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User send PO document ""Super.png"" in ""dropzoneNotaPengajuan""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","116","And User clicks ""fieldTipePT"" button in ""PO"" page","","Thu Sep 12 00:54:02 WIB 2024","passed","Thu Sep 12 00:54:02 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","2","When User clicks ""btnTambahProdukPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1629","Given I send login url","","Thu Sep 12 00:52:48 WIB 2024","passed","Thu Sep 12 00:52:50 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","316","Given I am on the login page","","Wed Sep 11 23:57:22 WIB 2024","passed","Wed Sep 11 23:57:22 WIB 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","285","And User click ""optTipeProduk0"" in ""menuMissionV4""","","Thu Sep 12 00:34:27 WIB 2024","passed","Thu Sep 12 00:34:28 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","286","And User click ""fieldInputTarget"" in ""menuMissionV4""","","Thu Sep 12 00:34:33 WIB 2024","passed","Thu Sep 12 00:34:33 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","243","When User click ""navMenuPurchasing"" button in ""Global"" page","","Thu Sep 12 00:53:45 WIB 2024","passed","Thu Sep 12 00:53:45 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User fill ""fieldDiskon1ModalPO"" with value ""500"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User can wait loading application for ""3"" seconds","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","3321","And User clicks ""optGudangPOAloha"" button in ""PO"" page","","Thu Sep 12 00:53:58 WIB 2024","passed","Thu Sep 12 00:54:02 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","0","And User verified ""purchase order cost"" for ""textValueGrandTotal"" is ""Rp 104.894.900,000""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","251","And User click ""radioBtnFixed"" in ""menuMissionV4""","","Thu Sep 12 00:34:16 WIB 2024","passed","Thu Sep 12 00:34:17 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","46470","Given User click ""btnBuatMisiPage"" in ""menuMissionRegular""","","Thu Sep 12 00:34:03 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","22894","And User click ""fieldSyaratDanKetentuan"" in ""menuMissionV4""","","Thu Sep 12 00:34:26 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","2","Then I see usernameDisplay","","Thu Sep 12 00:31:48 WIB 2024","skipped","Thu Sep 12 00:31:48 WIB 2024","","login Feature: As a user, I can login into superapp dashboard","",""
"","1271","And User set value ""10000"" into ""fieldInputReward""","","Thu Sep 12 00:34:35 WIB 2024","passed","Thu Sep 12 00:34:36 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","104648","Given I send login url","","Thu Sep 12 00:33:05 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","28274","And User click ""fieldTipeTarget"" in ""menuMissionV4""","","Thu Sep 12 00:34:21 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","476","And User input ""startDate"" into ""fieldPeriodeMisi""","","Thu Sep 12 00:34:10 WIB 2024","passed","Thu Sep 12 00:34:11 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","5013","And User wait for 5 seconds","","Thu Sep 12 00:34:11 WIB 2024","passed","Thu Sep 12 00:34:16 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""optPIC"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","2","hook:","","Thu Sep 12 00:54:13 WIB 2024","failed","Thu Sep 12 00:54:13 WIB 2024","","","",""
"","586","And User click ""toggleSwitchLeaderBoard"" in ""menuMissionV4""","","Thu Sep 12 00:34:36 WIB 2024","passed","Thu Sep 12 00:34:37 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","3009","And User wait for 3 seconds","","Thu Sep 12 00:34:18 WIB 2024","passed","Thu Sep 12 00:34:21 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","2051","Given I send login url","","Thu Sep 12 00:31:42 WIB 2024","passed","Thu Sep 12 00:31:45 WIB 2024","","login Feature: As a user, I can login into superapp dashboard","",""
"","3","hook:","","Thu Sep 12 00:34:49 WIB 2024","failed","Thu Sep 12 00:34:49 WIB 2024","","","",""
"","131","And User click ""fieldTipeProduk"" in ""menuMissionV4""","","Thu Sep 12 00:34:27 WIB 2024","passed","Thu Sep 12 00:34:27 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","528","And User input batas pemenang in ""menuMissionV4""","","Thu Sep 12 00:34:38 WIB 2024","passed","Thu Sep 12 00:34:39 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","0","Then User able to see ""Purchase Order berhasil dibuat!"" message verification","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","784","And User clicks ""fieldJenisPO"" button in ""PO"" page","","Thu Sep 12 00:53:57 WIB 2024","passed","Thu Sep 12 00:53:58 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","10015","Then User able to see ""Data berhasil disimpan"" message verification","","Thu Sep 12 00:34:39 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User fill ""fieldHargaSatuanModalPO"" with value ""95000"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User fill ""fieldProdukModalPO"" with value ""Automated Stock"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User verified ""purchase order cost"" for ""textValuePPN"" is ""Rp 10.395.000,000""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","0","And User verified ""purchase order cost"" for ""textValueSubTotal"" is ""Rp 104.895.000,000""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
